,Unnamed: 0,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y,Angle,Distance,Colour,ScoredBinary
108,108,west-ham,09/08/2015,1,6,115,115,Missed,arsenal,51.84,7.01400000000001,0.13448425586751192,52.31234840838252,r,0.0
109,109,arsenal,09/08/2015,1,6,9470,9470,Scored,west-ham,53.632,6.0120000000000005,0.1116312335526002,53.9679123924578,b,1.0
110,110,west-ham,09/08/2015,0,6,123,123,Missed,arsenal,115.456,-55.77799999999999,0.45004490415103904,128.22352834016073,r,0.0
111,111,west-ham,09/08/2015,0,6,90,90,Missed,arsenal,115.008,17.03400000000005,0.14704243122998906,116.26262176641295,r,0.0
112,112,west-ham,09/08/2015,0,6,311,311,Missed,arsenal,53.184,64.462,0.8809699756964467,83.56965537801386,r,0.0
113,113,west-ham,09/08/2015,0,6,115,115,Missed,arsenal,52.288,42.418000000000006,0.6815557711259385,67.3299462943496,r,0.0
114,114,west-ham,09/08/2015,0,6,377,377,Missed,arsenal,104.256,-79.49200000000002,0.651433818060343,131.10412503045052,r,0.0
115,115,west-ham,09/08/2015,0,6,377,377,Missed,arsenal,127.104,-11.021999999999991,0.08650000384653773,127.58099897712042,r,0.0
116,116,west-ham,09/08/2015,0,6,110,110,Missed,arsenal,97.088,-66.46600000000001,0.6003123288520716,117.6597165558374,r,0.0
117,117,west-ham,09/08/2015,0,6,123,123,Missed,arsenal,59.456,29.057999999999993,0.45459196683648995,66.1769091148869,r,0.0
118,118,west-ham,09/08/2015,0,6,115,115,Missed,arsenal,59.456,59.786,0.7881656375887491,84.31714969091401,r,0.0
119,119,west-ham,09/08/2015,0,6,90,90,Missed,arsenal,72.896,68.804,0.7565282757250342,100.23880103033954,r,0.0
120,120,west-ham,09/08/2015,0,6,115,115,Missed,arsenal,85.44,-28.389999999999986,0.32080222128905966,90.03324774770707,r,0.0
121,121,west-ham,09/08/2015,0,6,1581,1581,Missed,arsenal,73.344,90.514,0.8898030027308635,116.49947009321544,r,0.0
122,122,west-ham,09/08/2015,0,6,79,79,Missed,arsenal,106.048,-82.832,0.6630975819118327,134.56343681698976,r,0.0
123,123,west-ham,09/08/2015,0,6,311,311,Missed,arsenal,108.736,30.060000000000002,0.2697131898566645,112.81454381417319,r,0.0
124,124,west-ham,09/08/2015,0,6,90,90,Missed,arsenal,83.648,-68.47,0.6859495117098404,108.09777427865941,r,0.0
125,125,west-ham,09/08/2015,0,6,79,79,Missed,arsenal,66.176,-12.358000000000004,0.18461794985161717,67.32000549613763,r,0.0
