,AwayTeam,Date,HomeTeam
306,Everton,Sat 17 Mar 2018,Stoke
307,Southampton,Sat 17 Mar 2018,Swansea
308,Newcastle,Sat 17 Mar 2018,Tottenham
309,Man United,Sat 17 Mar 2018,West Ham
310,Stoke,Sat 31 Mar 2018,Arsenal
311,Leicester,Sat 31 Mar 2018,Brighton
312,Tottenham,Sat 31 Mar 2018,Chelsea
313,Liverpool,Sat 31 Mar 2018,Crystal Palace
314,Man City,Sat 31 Mar 2018,Everton
315,Swansea,Sat 31 Mar 2018,Man United
316,Huddersfield,Sat 31 Mar 2018,Newcastle
317,West Ham,Sat 31 Mar 2018,Southampton
318,Bournemouth,Sat 31 Mar 2018,Watford
319,Burnley,Sat 31 Mar 2018,West Brom
320,Southampton,Sat 07 Apr 2018,Arsenal
321,Crystal Palace,Sat 07 Apr 2018,Bournemouth
322,Huddersfield,Sat 07 Apr 2018,Brighton
323,West Ham,Sat 07 Apr 2018,Chelsea
324,Liverpool,Sat 07 Apr 2018,Everton
325,Newcastle,Sat 07 Apr 2018,Leicester
326,Man United,Sat 07 Apr 2018,Man City
327,Tottenham,Sat 07 Apr 2018,Stoke
328,Burnley,Sat 07 Apr 2018,Watford
329,Swansea,Sat 07 Apr 2018,West Brom
330,Leicester,Sat 14 Apr 2018,Burnley
331,Brighton,Sat 14 Apr 2018,Crystal Palace
332,Watford,Sat 14 Apr 2018,Huddersfield
333,Bournemouth,Sat 14 Apr 2018,Liverpool
334,West Brom,Sat 14 Apr 2018,Man United
335,Arsenal,Sat 14 Apr 2018,Newcastle
336,Chelsea,Sat 14 Apr 2018,Southampton
337,Everton,Sat 14 Apr 2018,Swansea
338,Man City,Sat 14 Apr 2018,Tottenham
339,Stoke,Sat 14 Apr 2018,West Ham
340,West Ham,Sat 21 Apr 2018,Arsenal
341,Man United,Sat 21 Apr 2018,Bournemouth
342,Tottenham,Sat 21 Apr 2018,Brighton
343,Huddersfield,Sat 21 Apr 2018,Chelsea
344,Newcastle,Sat 21 Apr 2018,Everton
345,Southampton,Sat 21 Apr 2018,Leicester
346,Swansea,Sat 21 Apr 2018,Man City
347,Burnley,Sat 21 Apr 2018,Stoke
348,Crystal Palace,Sat 21 Apr 2018,Watford
349,Liverpool,Sat 21 Apr 2018,West Brom
350,Brighton,Sat 28 Apr 2018,Burnley
351,Leicester,Sat 28 Apr 2018,Crystal Palace
352,Everton,Sat 28 Apr 2018,Huddersfield
353,Stoke,Sat 28 Apr 2018,Liverpool
354,Arsenal,Sat 28 Apr 2018,Man United
355,West Brom,Sat 28 Apr 2018,Newcastle
356,Bournemouth,Sat 28 Apr 2018,Southampton
357,Chelsea,Sat 28 Apr 2018,Swansea
358,Watford,Sat 28 Apr 2018,Tottenham
359,Man City,Sat 28 Apr 2018,West Ham
360,Burnley,Sat 05 May 2018,Arsenal
361,Swansea,Sat 05 May 2018,Bournemouth
362,Man United,Sat 05 May 2018,Brighton
363,Liverpool,Sat 05 May 2018,Chelsea
364,Southampton,Sat 05 May 2018,Everton
365,West Ham,Sat 05 May 2018,Leicester
366,Huddersfield,Sat 05 May 2018,Man City
367,Crystal Palace,Sat 05 May 2018,Stoke
368,Newcastle,Sat 05 May 2018,Watford
369,Tottenham,Sat 05 May 2018,West Brom
370,Bournemouth,Sun 13 May 2018,Burnley
371,West Brom,Sun 13 May 2018,Crystal Palace
372,Arsenal,Sun 13 May 2018,Huddersfield
373,Brighton,Sun 13 May 2018,Liverpool
374,Watford,Sun 13 May 2018,Man United
375,Chelsea,Sun 13 May 2018,Newcastle
376,Man City,Sun 13 May 2018,Southampton
377,Stoke,Sun 13 May 2018,Swansea
378,Leicester,Sun 13 May 2018,Tottenham
379,Everton,Sun 13 May 2018,West Ham
